coin,earliest_trade_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post,user1_degree_total,user1_degree_incoming,user1_degree_outgoing,user1_clustering_coefficient,user1_closeness_centrality_unweighted,user1_closeness_centrality_weighted,user1_closeness_centrality_incoming_unweighted,user1_closeness_centrality_outgoing_unweighted,user1_closeness_centrality_incoming_weighted,user1_closeness_centrality_outgoing_weighted,user1_betweenness_centrality_weighted,user1_satoshi_distance,user1_satoshi_pagerank_weighted,user1_pagerank_weighted
LGD,2014-04-28,2014-03-26,legendarycoin,1,86,2,1,7,7,0,0.0,0.001783482,0.001786389,0.0001799412,2.131605e-05,0.0001799625,2.131605e-05,0.0,5,1.730806e-06,7.101922e-06
QB,2014-05-26,2014-02-27,QuarkBar,1,26,1,1,14,14,0,0.03296703,0.002134916,0.002138958,0.0002280104,2.38749e-05,0.0002280538,2.38749e-05,0.0,4,3.450879e-06,1.266051e-05
BDSM,2014-10-20,2011-05-11,Zerbie,1,34,5,116,27,22,5,0.1566952,0.2223859,0.2480015,0.003901418,0.001449103,0.00390822,0.001449488,2095.167,2,0.001929375,0.00292706
NRS,2014-04-20,2014-02-14,barwizi,1,2068,151,282,920,713,207,0.06499469,0.002406605,0.002413381,0.0002576933,3.433191e-05,0.0002577575,3.43322e-05,7719025.0,3,0.0009239645,0.002146061
XGR,2014-06-28,2014-06-15,ncsupanda,1,110,5,116,57,50,7,0.02318296,0.001560013,0.001561749,0.000125151,2.283024e-05,0.000125159,2.283034e-05,213487.2,4,7.86798e-06,2.942658e-05
AXR,2014-08-27,2014-08-15,Project Axron,1,118,1,1,0,0,0,0.0,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,1.591723e-05,0.0,inf,8.798088e-07,3.678028e-06
EXE,2014-03-10,2013-04-04,kooke,1,278,4,24,10,0,10,0.3555556,0.02271326,0.02351832,0.0001250938,0.0002027249,0.0001250938,0.0002027475,0.0,inf,6.223353e-06,2.504507e-05
CKC,2014-09-19,2014-03-18,moonpool,1,159,7,77,23,12,11,0.03557312,0.001840287,0.001843204,0.0001939437,2.929656e-05,0.0001939668,2.929674e-05,63331.46,5,5.196413e-06,2.076047e-05
EAGS,2015-01-25,2014-12-03,mblados,1,445,4,136,102,68,34,0.03436226,0.001228446,0.001229515,9.795957e-05,1.908739e-05,9.796601e-05,1.908745e-05,58842.91,4,7.992807e-06,2.643027e-05
PLC2,2014-04-11,2014-11-11,rav3n_pl,1,295,6,901,59,7,52,0.02805377,0.001251475,0.001252933,0.0001004474,1.930595e-05,0.0001004553,1.930601e-05,410.525,4,2.190669e-06,6.249319e-06
BSTY,2014-10-03,2014-07-17,GlobalBoost,1,233,3,83,80,77,3,0.0227199,0.001461855,0.001464294,0.0001144383,2.171563e-05,0.0001144457,2.17157e-05,116846.4,4,1.630745e-05,6.225046e-05
BUK,2014-10-04,2013-09-10,PhenixCoin,1,21,2,11,51,46,5,0.2198582,0.009617575,0.009692954,0.0007507362,9.195596e-05,0.0007511473,9.195827e-05,10773.0,3,9.780043e-05,0.0002830862
RIN,2014-08-02,2010-07-11,Anonymous,1,2243,220,180,22,16,6,0.2418301,0.5328467,0.7985415,0.06790698,0.02888801,0.0703671,0.02909719,502.8452,1,0.08077986,0.07989335
TIT,2014-08-25,2010-08-15,Hepatizon,1,8,1,28,7,4,3,0.2,0.2118794,0.2384674,0.02295869,0.007305741,0.02312187,0.007320883,4.5,2,0.001994606,0.003170542
YAC,2013-06-09,2013-01-02,xorxor,1,352,9,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
RIC,2014-02-27,2013-02-11,lightlord,1,278,34,511,118,104,14,0.1330282,0.02594928,0.02679085,0.001419364,0.0002584766,0.001421454,0.0002584985,14317.4,3,0.0005378336,0.0009969601
FRAC,2014-06-15,2014-06-13,Fractalcoin,1,1,1,1,3,3,0,0.0,0.001562606,0.001564753,0.0001257623,1.743558e-05,0.0001257738,1.743558e-05,0.0,5,1.14416e-06,4.720762e-06
HAM,2014-10-26,2014-07-04,hamhrc,1,43,1,1,14,14,0,0.03296703,0.001484969,0.001486561,0.0001175906,1.685602e-05,0.0001175985,1.685602e-05,0.0,5,1.694832e-06,6.91649e-06
BOST,2014-05-30,2014-05-10,mammix2,1,533,14,80,258,232,26,0.01389227,0.001637072,0.001639981,0.0001426534,2.488703e-05,0.000142673,2.488714e-05,669557.6,3,5.615575e-05,0.0001850616
DASH,2014-02-14,2013-11-18,HashEngineering,1,73,1,20,11,1,10,0.4545455,0.008767741,0.008835321,0.0006865207,8.276299e-05,0.0006870097,8.276476e-05,0.0,4,3.764112e-06,1.411103e-05
THC,2014-06-28,2014-03-02,MiningSensei,1,97,6,1,1,0,1,0.0,0.002095949,0.002099712,2.356712e-05,2.356767e-05,2.356712e-05,2.356767e-05,0.0,inf,1.146058e-06,4.931941e-06
GRCX,2014-02-20,2013-11-04,Gridcoin,1,202,2,1,9,9,0,0.05555556,0.008832437,0.008908089,0.0007120342,5.760701e-05,0.0007125216,5.760701e-05,0.0,4,6.990208e-06,2.345461e-05
CINNI,2014-04-23,2013-05-27,maxpower,1,280,2,21,18,2,16,0.254902,0.0130031,0.01311813,0.0009184464,0.0001235373,0.0009192522,0.0001235412,1.45,4,5.608948e-06,2.082429e-05
PHO,2014-05-23,2011-01-28,grondilu,1,941,72,124,102,47,55,0.2409639,0.3333333,0.4816157,0.01189538,0.00337409,0.01202349,0.00337769,7019.158,2,0.01513853,0.01801182
ZEIT,2014-03-20,2013-04-25,Operatr,1,235,12,21,118,89,29,0.07170099,0.01598205,0.01619587,0.00113671,0.0001651354,0.001137447,0.0001651413,17117.71,3,0.0002219297,0.0005487678
ROOT,2014-08-26,2013-05-04,markm,1,4293,47,824,535,61,474,0.08219761,0.01608352,0.01632859,0.001096797,0.0001534598,0.001097975,0.0001534662,290994.4,3,0.0002183724,0.000379993
SYS,2014-08-20,2014-04-28,danosphere,1,341,20,118,437,431,6,0.01495301,0.001642509,0.0016456,0.000153142,2.599316e-05,0.0001531632,2.59933e-05,845381.6,3,0.0002036227,0.0006428873
LXC,2014-08-05,2014-07-22,Librexcoindev,1,55,1,1,23,23,0,0.007905138,0.001452752,0.001454436,0.0001131348,1.643142e-05,0.0001131427,1.643142e-05,0.0,5,2.170214e-06,8.984726e-06
MZC,2014-02-27,2013-08-29,Tommo_Aus,1,177,2,27,7,1,6,0.3809524,0.009231618,0.009310818,6.276676e-05,9.388085e-05,6.276676e-05,9.388334e-05,47.83333,inf,3.535106e-06,1.468258e-05
EMD,2013-08-04,2013-05-17,mineral,1,120,2,1,52,52,0,0.09426848,0.01370195,0.01384192,0.0009505264,8.594019e-05,0.0009511217,8.594019e-05,0.0,3,7.49144e-05,0.0002224755
DMD,2013-12-19,2013-01-02,xorxor,1,470,12,1,8,8,0,0.3214286,0.0270035,0.02768001,0.001430531,0.0001580278,0.0014323,0.0001580278,0.0,3,3.644596e-05,9.089704e-05
CRW,2014-11-08,2014-10-08,jeliman,1,33,3,283,21,14,7,0.0952381,0.001283554,0.001284788,0.0001029606,1.975209e-05,0.0001029668,1.975217e-05,16235.9,3,2.938773e-06,9.262193e-06
CRT,2014-05-11,2014-04-04,digitaldj,1,1,1,1,1,1,0,0.0,0.001752563,0.001755482,0.0001736139,2.077318e-05,0.0001736355,2.077318e-05,0.0,4,1.172867e-06,4.725192e-06
