coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
ISR,2014-04-08,2014-03-24,2014-04-08,IsraelCoin,1,34,3,15
JAY,2015-04-17,2015-04-02,2015-04-17,jones_,1,26,2,90
XCASH,2014-09-11,2014-09-01,2014-09-11,johnnyxcash,1,28,1,10
SPHR,2015-05-02,2015-04-30,2015-05-02,ChronoSphereDev,1,9,1,2
MUE,2014-11-01,2014-09-11,2014-11-01,Mue,1,99,2,51
OCTO,2015-03-22,2015-02-19,2015-03-22,OCTOPARTY,1,179,1,31
CURE,2014-05-26,2013-05-07,2014-05-26,cygnusxi,1,259,23,408
ISL,2015-09-28,2015-05-05,2015-09-28,isladev,1,55,2,146
DGB,2014-02-06,2014-02-03,2014-02-06,sa_ddam213,1,24,9,32
DGC,2013-06-09,2013-05-20,2013-06-09,fenican,1,737,60,32
ECC,2014-03-20,2014-03-06,2014-03-20,hostmaster,1,963,44,110
EBS,2015-07-21,2014-11-09,2015-07-21,EbolaDev,1,62,1,254
BITB,2015-02-18,2015-01-06,2015-02-18,nokat,1,36,2,43
ASC,2013-12-31,2013-09-11,2013-12-31,asicuser,1,26,2,112
BITZ,2015-03-08,2015-11-01,2015-03-08,EBK1000,1,290,6,404
KUMA,2014-08-02,2014-04-26,2014-08-02,kumacoinproject,1,1,1,98
QTL,2014-07-12,2014-03-21,2014-07-12,ThePeePs,1,117,1,128
BITS,2014-04-23,2013-06-02,2014-04-23,jubalix,1,1495,248,417
JKC,2013-06-14,2013-05-07,2013-06-14,Narken,1,115,2,43
FRC,2013-05-02,2012-06-25,2013-05-02,maaku,1,189,7,594
VTC,2014-01-20,2014-01-18,2014-01-20,naplam,1,3,2,4
DUO,2015-10-24,2014-08-02,2015-10-24,Parallaxis,1,17,1,448
FRK,2013-06-09,2013-05-07,2013-06-09,Narken,1,112,2,38
XC,2014-05-23,2014-05-08,2014-05-23,atcsecure,1,223,5,385
DUB,2015-06-30,2014-02-02,2015-06-30,baritus,1,704,51,779
EUC,2015-08-23,2014-03-04,2015-08-23,deeppurple72,1,373,74,784
UNB,2014-05-23,2014-03-27,2014-05-23,jimblasko,1,66,5,57
UNC,2015-03-22,2013-12-10,2015-03-22,dr_chen,1,211,16,567
CARB,2014-08-02,2014-03-06,2014-08-02,axismundi,1,246,3,158
CLV,2015-05-13,2015-05-08,2015-05-13,clevercryptodev,1,14,1,5
BBR,2014-06-24,2014-07-05,2014-06-24,silvo,1,10,1,123
CLR,2013-11-03,2013-08-05,2013-11-03,vipah,1,85,11,205
UNO,2013-12-21,2013-10-17,2013-12-21,Blazr2,1,60,5,142
OMC,2014-05-11,2014-03-28,2014-05-11,OSRSGold,1,3,1,44
ZED,2014-03-06,2014-01-17,2014-03-06,YourMine.org,1,178,7,52
HVC,2014-03-12,2013-12-30,2014-03-12,1gh,1,29,1,72
CRAVE,2015-03-26,2015-03-20,2015-03-26,industrialcoinmagic,1,33,1,6
ZET,2013-09-10,2013-08-03,2013-09-10,Giskard,1,107,5,118
INFX,2015-09-15,2014-02-22,2015-09-15,influxcoin,1,1,1,570
VTA,2014-08-09,2014-08-11,2014-08-09,VirtaCoinDev,1,0,0,-2
SLFI,2015-03-22,2014-06-05,2015-03-22,SelfieCoin Dev,1,2,1,290
AMS,2015-08-20,2015-08-14,2015-08-20,keesdewit,1,91,2,59
WBB,2015-02-28,2015-02-11,2015-02-28,WildBeastBitcoin,1,68,1,17
DUCK,2014-02-22,2013-05-07,2014-02-22,eule,1,560,3,323
DT,2014-09-17,2014-09-16,2014-09-17,darktoken,1,4,1,1
DP,2014-10-04,2014-09-20,2014-10-04,7vpo,1,76,2,232
CESC,2014-04-03,2014-03-29,2014-04-03,play,1,5,1,127
CYP,2015-04-11,2015-03-29,2015-04-11,Cypher7A69,1,53,1,13
CYT,2015-09-21,2015-09-10,2015-09-21,Crypt0ken,1,102,1,11
POT,2014-02-09,2013-08-11,2014-02-09,hendo420,1,765,62,286
MRKT,2014-09-23,2014-11-11,2014-09-23,BTCDDev,1,0,0,-38
POP,2014-04-23,2014-01-28,2014-04-23,eon89,1,562,17,150
CYC,2014-07-05,2014-05-07,2014-07-05,Omega6,1,42,4,101
TGC,2013-12-21,2013-09-06,2013-12-21,mintedstone,1,52,1,111
RPC,2014-01-06,2013-12-28,2014-01-06,colinistheman,1,211,24,211
TIPS,2013-12-31,2013-12-22,2013-12-31,MystPhysX,1,57,1,9
NODE,2014-09-13,2013-05-02,2014-09-13,Passion_ltc,1,303,10,502
BITGOLD,2015-01-04,2014-03-21,2015-01-04,Gold-Bars,1,217,3,311
RBY,2014-03-20,2014-02-11,2014-03-20,rby,1,7,1,42
DOPE,2014-02-22,2014-02-15,2014-02-22,dopey,1,277,12,67
SDC,2014-07-31,2014-07-18,2014-07-31,sdcoin,1,28,2,14
LSD,2014-09-13,2014-09-04,2014-09-13,lightspeedLS,1,45,1,9
SLR,2014-03-29,2014-01-23,2014-03-29,ddirt,1,29,1,79
SLG,2014-09-23,2014-08-02,2014-09-23,Sterlingcoin,1,297,1,52
MCN,2014-08-25,2014-06-15,2014-08-25,cryptomidnight,1,105,3,71
DICE,2014-11-08,2012-09-26,2014-11-08,SRoulette,1,294,39,804
NRB,2013-07-04,2013-05-30,2013-07-04,barwizi,1,1107,85,57
LGD,2014-04-27,2014-03-25,2014-04-27,legendarycoin,1,85,2,33
QB,2014-05-26,2014-02-26,2014-05-26,QuarkBar,1,26,1,89
MCZ,2015-03-22,2014-12-22,2015-03-22,SreleFromMangoCoinz,1,158,1,192
BDSM,2014-10-20,2014-09-19,2014-10-20,altcoin.center,1,51,3,42
NRS,2014-04-20,2014-02-13,2014-04-20,barwizi,1,2065,151,347
XGR,2014-06-28,2014-06-05,2014-06-28,Mesterlovesz74,1,177,2,158
$$$,2015-11-12,2013-06-06,2015-11-12,dolfcao,1,353,50,933
AXR,2014-08-27,2014-08-14,2014-08-27,Project Axron,1,118,1,13
EXE,2014-03-10,2014-03-14,2014-03-10,NamunX,1,0,0,-1
EXC,2014-01-16,2013-08-17,2014-01-16,CaptChadd,1,883,40,560
CKC,2014-09-19,2014-01-05,2014-09-19,Clockcoin,1,20,1,257
MUSE,2015-05-06,2015-10-23,2015-05-06,StanLarimer,1,398,1,257
HBN,2013-12-20,2013-07-24,2013-12-20,thundertoe,1,218,35,927
WS,2015-07-02,2014-05-22,2015-07-02,onetootwee,1,3,1,406
EXP,2015-09-15,2015-08-10,2015-09-15,CryptoClub,1,713,3,556
LQD,2015-02-06,2014-04-01,2015-02-06,Bitcoin Magazine,1,289,28,312
PAK,2015-09-15,2015-06-22,2015-09-15,drwatson84,1,54,1,85
BSTY,2014-10-03,2014-09-10,2014-10-03,wgd,1,101,1,197
IBITS,2015-07-27,2015-07-13,2015-07-27,iBITS,1,1,1,14
TCO,2014-07-21,2014-05-09,2014-07-21,TacoCoin,1,1,1,73
VNL,2015-03-05,2014-01-12,2015-03-05,vanilla_sys,1,6,1,417
RIN,2014-08-02,2014-05-23,2014-08-02,homhomhom,1,91,1,147
TIT,2014-08-25,2014-11-10,2014-08-25,titcoinfoundation,1,0,0,-77
YAC,2013-06-09,2013-05-05,2013-06-09,pocopoco,1,12,1,35
RIC,2014-02-27,2013-09-05,2014-02-27,gatra,1,115,5,243
COV,2015-04-21,2015-04-19,2015-04-21,CovenDev,1,17,2,2
OFF,2015-07-25,2013-05-15,2015-07-25,wangsw,1,14,1,803
HAM,2014-10-26,2013-12-28,2014-10-26,raistlinthewiz,1,168,6,323
