coin_name,coin_symbol,first_date_price
Sync,SYNC,2014-05-21
SysCoin,SYS,2014-08-20
TagCoin,TAG,2013-11-05
TAGRcoin,TAGR,2015-07-16
TakCoin,TAK,2014-02-27
Tamagucci,TAM,2015-06-26
Agoras Tokens,TAU,2015-08-23
TeleBET,TB,2015-05-15
TacoCoin,TCO,2014-07-21
TEKcoin,TEK,2014-05-20
TenneT,TENNET,2015-08-10
TeslaCoin,TES,2014-02-06
Tigercoin,TGC,2013-12-21
HempCoin,THC,2014-06-28
FedoraCoin,TIPS,2013-12-31
Titcoin,TIT,2014-08-25
Tickets,TIX,2013-11-03
TuringCoin,TNG,2015-05-21
TopCoin,TOP,2014-02-17
TorCoin,TOR,2014-07-12
Terracoin,TRC,2013-04-28
Triangles,TRI,2014-07-21
TrickyCoin,TRICK,2015-03-31
Truckcoin,TRK,2014-07-16
Trollcoin,TRL,2014-09-30
TRMB,TRMB,2015-05-25
Positron,TRON,2015-04-14
TrustPlus,TRUST,2014-07-10
TittieCoin,TTC,2014-11-08
Trinity,TTY,2015-01-18
TransferCoin,TX,2015-08-20
UCoin,U,2014-11-16
UFO Coin,UFO,2014-02-27
Unitus,UIS,2015-01-12
Umbrella-LTC,ULTC,2014-08-31
UnbreakableCoin,UNB,2014-05-23
UNCoin,UNC,2015-03-22
UniCoin,UNIC,2015-06-14
Universal Currency,UNIT,2015-05-07
SuperNET,UNITY,2014-10-01
Unobtanium,UNO,2013-12-21
Unrealcoin,URC,2015-03-31
Uro,URO,2014-06-12
USDe,USDe,2014-02-06
Tether,USDT,2015-02-25
UltraCoin,UTC,2014-02-09
UtilityCoin,UTIL,2014-09-30
Vcoin,VCN,2015-06-10
Vidio,VDO,2014-10-20
Vector,VEC,2015-09-04
Versa,VERSA,2015-07-07
VegasCoin,VGC,2014-05-06
Viacoin,VIA,2014-07-18
Viorcoin,VIOR,2014-11-23
Viral,VIRAL,2015-05-08
VirtualMiningCoin,VMC,2014-05-06
Vanillacoin,VNL,2015-03-06
VolumeCoin,VOL,2015-08-23
VootCoin,VOOT,2014-06-12
VPNCoin,VPN,2014-11-23
VeriCoin,VRC,2014-05-16
Virtacoin,VTA,2014-08-09
Vertcoin,VTC,2014-01-20
vTorrent,VTR,2014-12-25
WildBeastBitcoin,WBB,2015-02-28
WorldCoin,WDC,2013-05-22
WankCoin,WKC,2014-06-25
WorldPay,WOP,2015-10-12
Woodshares,WS,2015-07-02
Sapience AIFX,XAI,2014-12-25
Xaurum,XAU,2015-04-21
Bitcoin Plus,XBC,2014-05-03
BitStake,XBS,2015-01-13
XCurrency,XC,2014-05-23
XCash,XCASH,2014-09-11
Cerium,XCE,2015-06-10
ClearingHouse,XCH,2014-10-04
Cryptonite,XCN,2014-08-02
X-Coin,XCO,2015-03-06
Counterparty,XCP,2014-02-15
Scotcoin,XCPSCO,2014-05-26
Crypti,XCR,2014-08-07
DigitalNote,XDN,2014-06-24
Dogeparty,XDP,2014-08-28
Dirac,XDQ,2014-05-26
NEM,XEM,2015-03-31
EmpoCredits,XEMP,2015-09-14
Forevercoin,XFC,2015-06-24
GoldReserve,XGR,2014-06-28
Joulecoin,XJO,2013-12-06
Libertycoin,XLB,2014-05-13
Magi,XMG,2014-09-24
Monero,XMR,2014-05-20
XenCoin,XNC,2013-07-25
Pebblecoin,XPB,2015-03-31
Pharma,XPH,2015-06-08
Primecoin,XPM,2013-07-11
PayCoin,XPY,2014-12-16
Quotient,XQN,2014-11-23
Ratecoin,XRA,2015-06-26
Ripple,XRP,2013-08-04
BitSeeds,XSEED,2015-04-21
StabilityShares,XSI,2014-04-23
Stealthcoin,XST,2014-07-10
TileCoin,XTC,2014-10-25
UPcoin,XUP,2015-09-22
Vibranium,XVI,2015-07-02
WhiteCoin,XWC,2014-04-18
World Trade Funds,XWT,2014-10-26
XxXcoin,XXX,2014-07-03
Yacoin,YAC,2013-06-09
YbCoin,YBC,2014-01-16
CandyCoin,YUM,2014-11-16
ZcCoin,ZCC,2014-08-05
Zedcoin,ZED,2014-03-06
Zeitcoin,ZEIT,2014-03-20
Zetacoin,ZET,2013-09-10
Bitzeny,ZNY,2015-07-09
Zoom,ZOOM,2015-07-16
ZiftrCOIN,ZRC,2015-03-03
ZimStake,ZS,2014-05-02
